title                         , comment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , sentiment, genre        , overall rating, ratings  , categories                                                                                                                           , confidence
Subway Surfers                , "The game was proper before but then, randomly, the format of the entire game changed and it deleted my Osaka progress midway"                                                                                                                                                                                                                                                                                                                                                                                               , NEGATIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , nice game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , please made the background with chocolate it is very good game but please do this. or else made the background with teen titans go                                                                                                                                                                                                                                                                                                                                                                                           , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.999
Subway Surfers                , very smooth game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , Games is a Apps whose played children's only but this one is another they play Children's elders both because this have a wonderful graphics and play                                                                                                                                                                                                                                                                                                                                                                        , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.999
Subway Surfers                , this is best game if you are free. I have best experience playing this please everyone download this                                                                                                                                                                                                                                                                                                                                                                                                                         , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.998
Subway Surfers                , this game is so good and I really hope you like it                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
Subway Surfers                , 👍Fantastic 👏 First classic and💯% game which l have ever seen👏🧡👋                                                                                                                                                                                                                                                                                                                                                                                                                                                        , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.995
Subway Surfers                , "its very amazing game I liked this game cause its ofline and can do some time pass , I am giving 100 percent guarantee there is no adds in between"                                                                                                                                                                                                                                                                                                                                                                         , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.98
Subway Surfers                , Ilove this game so easy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 0.987
Subway Surfers                , nice game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , POSITIVE , Arcade       ,      4.5600967,  41935337, "Action, Platformer, Runner, Arcade, Single player, Stylized, Experiences, City, Offline"                                            , 1.0
